date,temperature,uncertainty,month,year
1763-02-01,0.7709999999999999,4.102,2,1763
1763-03-01,1.5760000000000003,4.635,3,1763
1763-04-01,7.870999999999999,2.275,4,1763
1763-05-01,10.701,2.736,5,1763
1763-06-01,12.271,2.224,6,1763
1763-07-01,16.391,1.754,7,1763
1763-08-01,14.126,2.157,8,1763
1763-09-01,11.378,2.827,9,1763
1763-10-01,5.535,2.9610000000000003,10,1763
1763-11-01,4.588,2.08,11,1763
1763-12-01,3.384,3.653,12,1763
1764-01-01,1.741,3.628,1,1764
1764-02-01,6.162000000000001,2.8680000000000003,2,1764
1764-03-01,5.521,2.488,3,1764
1764-04-01,7.879999999999999,3.159,4,1764
1764-05-01,11.175,4.55,5,1764
1764-06-01,11.723,1.707,6,1764
1764-07-01,12.507,3.256,7,1764
1764-08-01,12.282,1.259,8,1764
1764-09-01,10.696,2.236,9,1764
1764-10-01,10.011,2.515,10,1764
1764-11-01,5.791,2.8280000000000003,11,1764
1764-12-01,5.315,2.809,12,1764
1765-01-01,3.78,4.928,1,1765
1765-02-01,3.832,3.156,2,1765
1765-03-01,6.859,2.442,3,1765
1765-04-01,9.013,1.4480000000000002,4,1765
1765-05-01,10.734000000000002,1.928,5,1765
1765-06-01,10.832999999999998,1.453,6,1765
1765-07-01,13.953,2.375,7,1765
1765-08-01,13.12,1.872,8,1765
1765-09-01,10.993,1.705,9,1765
1765-10-01,7.904,1.533,10,1765
1765-11-01,5.603,3.737,11,1765
1765-12-01,2.399,2.556,12,1765
1766-01-01,-0.7930000000000001,4.766,1,1766
1766-02-01,4.896,3.741,2,1766
1766-03-01,6.062,2.802,3,1766
1766-04-01,8.007,2.084,4,1766
1766-05-01,11.228,1.555,5,1766
1766-06-01,13.653,3.745,6,1766
1766-07-01,13.555,2.341,7,1766
1766-08-01,13.758,2.5980000000000003,8,1766
1766-09-01,12.25,2.855,9,1766
1766-10-01,8.465,1.491,10,1766
1766-11-01,7.4540000000000015,3.774,11,1766
1766-12-01,2.333,2.278,12,1766
1767-01-01,-0.6430000000000002,5.6560000000000015,1,1767
1767-02-01,3.932,4.973,2,1767
1767-03-01,7.022,4.418,3,1767
1767-04-01,6.278,3.557,4,1767
1767-05-01,10.193,1.501,5,1767
1767-06-01,14.112,1.426,6,1767
1767-07-01,13.361,2.559,7,1767
1767-08-01,14.597,1.466,8,1767
1767-09-01,11.675,2.313,9,1767
1767-10-01,9.027,1.611,10,1767
1767-11-01,7.915,3.775,11,1767
1767-12-01,1.189,2.297,12,1767
1768-01-01,-2.08,3.027,1,1768
1768-02-01,0.5060000000000002,3.04,2,1768
1768-03-01,2.446,2.157,3,1768
1768-04-01,6.92,1.84,4,1768
1768-05-01,9.066,2.4330000000000003,5,1768
1768-06-01,12.489999999999998,1.729,6,1768
1768-07-01,13.875,2.552,7,1768
1768-08-01,12.352,2.046,8,1768
1768-09-01,10.824000000000002,1.504,9,1768
1768-10-01,7.728999999999999,2.5580000000000003,10,1768
1768-11-01,4.581,2.02,11,1768
1768-12-01,2.667,2.286,12,1768
1769-01-01,2.305,3.76,1,1769
1769-02-01,2.164,2.527,2,1769
1769-03-01,4.57,2.225,3,1769
1769-04-01,8.966999999999997,3.105,4,1769
1769-05-01,12.873,1.753,5,1769
1769-06-01,15.142,1.727,6,1769
1769-07-01,14.461,3.669,7,1769
1769-08-01,13.494000000000002,1.604,8,1769
1769-09-01,11.25,1.598,9,1769
1769-10-01,5.296999999999999,2.395,10,1769
1769-11-01,2.79,2.267,11,1769
1769-12-01,-0.9780000000000002,2.291,12,1769
1770-01-01,1.974,4.275,1,1770
1770-02-01,4.105,4.129,2,1770
1770-03-01,1.612,2.276,3,1770
1770-04-01,9.788,3.516,4,1770
1770-05-01,9.996,1.27,5,1770
1770-06-01,11.884,3.395,6,1770
1770-07-01,11.621,2.658,7,1770
1770-08-01,11.413,3.14,8,1770
1770-09-01,10.724,1.51,9,1770
1770-10-01,8.661,1.6030000000000002,10,1770
1770-11-01,5.791,2.7260000000000004,11,1770
1770-12-01,4.734,2.87,12,1770
1771-01-01,5.101,4.287,1,1771
1771-02-01,-0.2739999999999999,3.218,2,1771
1771-03-01,2.814,3.237,3,1771
